2023-05-03 20:15:20,012 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/bren/bren_advance.php, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:20,548 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/bren/bren_about.php, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:21,085 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/bren/None, status <404>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:21,596 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/bren/bren_vision.php, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:22,131 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/about_safety.php, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:22,670 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/annualreport/None, status <404>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:23,181 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/annualreport/2006-07/index.php, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:23,717 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/annualreport/2006-07/alumni.php, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:25,241 - Worker-0 - INFO - Downloaded http://ics.uci.edu/community/alumni/mentor, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:25,763 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/annualreport/2006-07/events.php, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:26,296 - Worker-0 - INFO - Downloaded http://ics.uci.edu/community/news/rss/news.xml, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:26,812 - Worker-0 - INFO - Downloaded http://ics.uci.edu/computerscience, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:29,374 - Worker-0 - INFO - Downloaded https://ics.uci.edu/employment/employ_faculty, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:29,924 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/employment/employ_faculty, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:30,455 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/employment/staff.php, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:30,989 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/employment/employ_research.php, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:31,526 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/employment/None, status <404>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:32,036 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/employment/employ_lecturer.php, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:32,566 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/employment/employ_distinguished.php, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:33,096 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/employment/employ_faculty.php, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:33,628 - Worker-0 - INFO - Downloaded https://www.cs.uci.edu/news, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:34,161 - Worker-0 - INFO - Downloaded https://ics.uci.edu/community/news/view_news?id=2131, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:34,709 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2131, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:35,240 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2132, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:35,779 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2133, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:36,320 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2134, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:36,857 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2135, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:37,397 - Worker-0 - INFO - Downloaded https://stat.uci.edu/isi-buds/apply.html, status <604>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:37,910 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2136, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:38,452 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2137, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:38,988 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2138, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:39,519 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2131, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:40,052 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2130, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:40,589 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2129, status <200>, using cache ('styx.ics.uci.edu', 9013).
2023-05-03 20:15:41,130 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news.php?id=2128, status <200>, using cache ('styx.ics.uci.edu', 9013).
