acceptance,23
236,8
investigators,26
women’s,23
history,546
empowering,26
tech,865
honor,173
pulled,12
list,1121
on-campus,9
nationwide,14
organizations,140
books,703
leaders,98
introduce,122
way,878
expanding,30
despite,58
remain,49
sorely,2
underrepresented,82
countless,10
pioneers,15
debra,34
richardson,39
pioneer,12
founding,55
continues,79
pave,5
advocating,6
serving,42
advisory,73
board,246
member,350
wit,9
recognize,108
influence,61
innovations,38
critical,215
ensuring,31
made,546
everyone,142
yet,227
changing,111
narrative,21
acknowledging,7
contributing,15
continuing,33
widen,5
trail,7
follow,321
exhaustive,19
view,914
following,679
reflecting,16
gender,84
gap,103
supporting,113
listing,128
pw,1
decades-long,2
longstanding,5
tradition,16
staff,1494
special,1202
emphasis,86
engineers,84
swe,1
not-for-profit,4
service,350
organization,292
serves,130
driving,36
force,110
highly,133
desirable,5
aspiration,3
wics,90
nonprofit,49
college,251
leadership,673
wil,4
empowers,40
believe,95
dreams,33
provides,280
supportive,29
recognizes,68
awareness,149
imbalances,2
surrounding,44
connecting,166
youth,42
wyse,1
strengthening,11
lives,185
communities,236
curriculum-based,1
one-on-one,9
womxn’s,1
success,143
equity,568
raising,48
consciousness,7
justice,40
concepts,211
fostering,27
personal,243
growth,114
building,357
encouraging,35
identity,57
increasing,81
access,726
holistic,6
wellness,62
closing,36
increase,139
ada’s,1
nonbinary,3
sector,13
connect,216
conspire,2
anita,21
borg,8
inspires,16
guides,10
innovation,173
strategic,21
imperative,6
girls,28
color,213
ages,13
7-17,1
develop,523
creates,75
adults,50
software,2593
eliminating,4
legislators,6
classrooms,23
league,23
coders,4
grassroots,10
collective,23
coding,114
hacking,8
lesbians,1
lgbtq,30
trans,177
individuals,138
around,474
ncwit,11
network,943
advancing,48
correcting,12
underrepresentation,2
next,1071
girl,12
educates,2
mentors,66
include,613
advocacy,54
pyladies,1
participants,179
python,114
open-source,37
r,6406
ladies,2
worldwide,48
promote,87
0,6483
company,202
startup,41
witi,1
excel,20
reading,146
suggested,46
ranges,8
children’s,23
grace,117
hopper,16
boys,6
club,78
sexist,9
apps,88
female,56
innovators,20
band,12
untold,1
claire,5
evans,9
brotopia,1
breaking,27
emily,19
chang,24
feminism,5
catherine,14
d’ignazio,1
lauren,3
f,4429
klein,29
danielle,2
newnham,1
gaming,97
going,300
viral,6
done,345
andrea,13
gonzales,4
sophie,2
houser,1
teen,6
book,496
reshma,2
saujani,2
queen,7
laurie,3
wallmark,1
innovating,5
face,366
vivek,7
wadhwa,4
farai,1
chideya,1
ellen,8
ullman,7
recoding,1
participation,76
janet,8
abbate,1
technically,10
wrong,75
biased,17
threats,18
toxic,6
sara,15
wachter-boettcher,1
blueprint,3
inspiring,24
mentoring,95
generation,426
susanne,10
tedrick,2
level,285
advice,108
stories,477
tarah,1
wheeler,1
sure,478
dignity,1
writers,11
journalists,2
struggle,10
get,1573
old,130
bylines,1
corrected,15
highlights,1032
theresa,31
jean,34
tanenbaum,106
extensive,32
name-change,1
policies,5645
inclusive,102
facilitating,11
name,921
changes,365
digital,306
platforms,101
issue,758
extends,84
transgender,7
helped,168
release,111
guiding,14
principles,127
adopted,28
publishers,19
particular,432
vulnerabilities,30
motivated,76
creation,71
anticipate,11
long-standing,5
inequalities,5
disproportionately,3
harmed,2
nora,2
berenstain’s,1
epistemic,1
exploitation,14
views,44
required,414
anyone,83
seeking,26
influential,46
sampling,91
trailblazing,2
allie,2
k,2919
miller,973
global,265
head,65
startups,19
venture,4
capital,16
amazon,107
avril,1
haines,2
lead,221
carmen,1
fontana,1
emerging,123
leader,48
enthusiast,1
investor,5
cassie,1
kozyrkov,1
google,558
mission,80
democratizing,4
safe,96
cathy,5
hackl,1
web,847
3,4416
strategist,3
futurist,1
danah,1
boyd,30
partner,589
researcher,152
microsoft,158
founder,53
pao,1
co-founder,47
ceo,54
co-author,39
reset,96
fight,23
lasting,27
geeta,1
nayyar,1
recognized,168
jessie,4
woolley-wilson,1
president,89
dreambox,1
instruction,31
k-8,1
joy,14
buolamwini,1
poet,2
kate,17
crawford,6
york,201
university’s,13
author,1438
atlas,8
power,317
politics,23
planetary,9
costs,98
gunderson,1
mechanical,26
aerospace,24
engineer,117
confidently,1
thrive,18
highlighting,20
30,1012
percent,68
conducting,48
broadening,8
reach,141
curriculum,64
novice,7
statisticians,52
co-authoring,1
bayes,6
rules,201
co-teaches,1
high,403
mathematics,334
co-chairs,15
competition,679
electronic,199
usproc,1
eusr,1
check,316
blog,106
posts,19
datapedagogy,1
com,1843
pedagogical,14
collaborative,182
measurement,49
missing,107
educators,44
primary,200
adopt,10
opposed,12
gatekeeping,2
celebrate,34
remind,12
form,835
serve,85
intersection,259
racial,26
ethnic,1
class,1402
identities,23
sexual,24
orientation,613
disability,77
status,132
navarro,7
lecturer,84
bachelor’s,27
dissertation,49
simse,11
simulation,149
environment,347
process,1060
resulted,27
game,1236
helps,178
graphical,75
interactive,590
entertaining,10
teaches,44
centered,38
topics,252
requirements,252
programming,1112
management,885
every,636
valuable,52
contribution,49
based,1049
background,93
benefit,86
large,854
jennifer,38
wong-ma,14
adviser,35
commit,56
co-chair,67
steering,14
committee,164
architecture,270
courses,1558
oversees,2
automated,98
cs,1896
hardware,133
intellectual,31
property,294
protection,40
wireless,194
distributed,745
embedded,414
strive,10
day,287
inspiration,22
younger,21
feel,136
responsibility,40
ongoing,71
faced,14
sharing,121
reflections,24
roles,58
empower,38
enact,8
isaac,110
goldstein,15
receives,226
la,180
verne,5
noyes,5
february,982
23,799
